"","gvkey","datadate","viol","fyearq","fqtr","datacqtr","datafqtr","actq","atq","cheq","cshoq","dlcq","dlttq","ibq","lctq","ltq","oibdpq","ppentq","saleq","seqq","txditcq","xintq","prccq","splticrm","sich","sic","cuur0000aa0","websiteSEC","cikSEC","formtype","nameSEC","datereport","datefiled","Year","gvkey.1","datadate.1","fyearq.1","fqtr.1","indfmt","curcdq","datacqtr.1","datafqtr.1","prcraq","aqcy","capxy","prstkcy","costat","dvpspq"
"72713",149379,"31.03.2004",1,2004,2,"2004Q1","2004Q2",7.61,15.854,1.214,13.883,4.431,2.021,-3.135,13.583,15.604,-1.991,2.014,0.265,0.25,0,0,3,"",1700,2086,561.5,"http://www.sec.gov/Archives/edgar/data/1066923/0001019687-04-001177.txt",1066923,"10QSB","ENTECH ENVIRONMENTAL TECHNOLOGIES INC","31.03.04","24.05.04",2004,149379,"31.03.2004",2004,2,"INDL","USD","2004Q1","2004Q2",NA,0,0.061,NA,"A",0
"72730",149477,"30.04.2005",1,2004,4,"2005Q1","2004Q4",97.752,283.752,43.838,52.735,0.775,19.656,-4.444,38.798,64.544,-2.353,20.28,37.591,219.208,6.09,NA,3.54,"",3714,3714,582.9,"http://www.sec.gov/Archives/edgar/data/1166380/0001193125-05-137038.txt",1166380,"10-K","QUANTUM FUEL SYSTEMS TECHNOLOGIES WORLDWIDE INC","30.04.05","05.07.05",2005,149477,"30.04.2005",2004,4,"INDL","USD","2005Q1","2004Q4",0,9.067,1.9,0,"A",0
"72759",149578,"31.03.2005",1,2005,1,"2005Q1","2005Q1",146.36,1018.335,58.644,25.377,0.642,329.365,-2.953,69.568,452.939,19.818,130.825,123.253,565.396,48.295,7.842,27.51,"BB",7350,7350,579,"http://www.sec.gov/Archives/edgar/data/1175108/0001193125-05-142305.txt",1175108,"10-Q","ROTECH HEALTHCARE INC","31.03.05","14.07.05",2005,149578,"31.03.2005",2005,1,"INDL","USD","2005Q1","2005Q1",NA,9.135,16.087,NA,"A",0
"72948",150201,"30.06.2004",1,2004,2,"2004Q2","2004Q2",52.763,165.539,5.31,8.476,0,60,2.422,26.824,87.19,4.765,107.099,61.253,78.349,0,0.758,28,"",5172,5172,568.2,"http://www.sec.gov/Archives/edgar/data/1176334/0000950134-04-011161.txt",1176334,"10-Q","MARTIN MIDSTREAM PARTNERS LP","30.06.04","03.08.04",2004,150201,"30.06.2004",2004,2,"INDL","USD","2004Q2","2004Q2",NA,26.733,2.232,0,"A",0.525
"73057",150284,"31.12.2004",1,2005,1,"2004Q4","2005Q1",98.434,131.233,57.525,16.241,0,0,0.708,39.042,42.773,2.186,5.509,56.615,88.46,3.731,0.007,16.63,"",8082,8082,570.1,"http://www.sec.gov/Archives/edgar/data/787030/0000950153-05-000228.txt",787030,"10-Q","VISTACARE, INC.","31.12.04","09.02.05",2004,150284,"31.12.2004",2005,1,"INDL","USD","2004Q4","2005Q1",0,0,0.717,0,"I",0
"73065",150284,"31.12.2006",1,2007,1,"2006Q4","2007Q1",84.529,117.902,38.649,16.742,0,0,0.391,37.62,38.764,-0.419,5.992,60.983,79.138,1.144,NA,10.15,"",8082,8082,604.5,"http://www.sec.gov/Archives/edgar/data/787030/0000950153-07-000251.txt",787030,"10-Q","VISTACARE, INC.","31.12.06","09.02.07",2006,150284,"31.12.2006",2007,1,"INDL","USD","2006Q4","2007Q1",0,0,0.322,0,"I",0
"73187",150644,"31.03.2005",1,2005,1,"2005Q1","2005Q1",3.832,4.425,0.154,5.796,4.191,0.531,-0.289,5.539,6.085,-0.288,0.196,0.002,-1.66,0,0,0.2,"",4899,4899,579,"http://www.sec.gov/Archives/edgar/data/1104538/0000950129-05-005619.txt",1104538,"10QSB","OCEAN WEST HOLDING CORP","31.03.05","23.05.05",2005,150644,"31.03.2005",2005,1,"INDL","USD","2005Q1","2005Q1",NA,NA,NA,NA,"I",0
"73226",150699,"31.12.2007",1,2007,4,"2007Q4","2007Q4",564.577,5362.794,137.441,82.542,0,487.159,129.978,424.571,2103.507,329.347,4062.316,463.632,3259.287,1076.223,9.23,42.53,"BB-",1311,1311,629.174,"http://www.sec.gov/Archives/edgar/data/1168054/0001047469-08-001923.txt",1168054,"10-K","CIMAREX ENERGY CO","31.12.07","28.02.08",2007,150699,"31.12.2007",2007,4,"INDL","USD","2007Q4","2007Q4",NA,0,1021.456,42.266,"A",0.04
"73329",151257,"31.12.2004",1,2004,4,"2004Q4","2004Q4",144.71,163.789,100.986,32.253,0.279,0.261,-1.389,51.426,51.687,0.648,5.975,59.961,112.102,0,0.531,27.48,"",4899,9995,570.1,"http://www.sec.gov/Archives/edgar/data/1133324/0001193125-05-046578.txt",1133324,"10-K","INPHONIC INC","31.12.04","10.03.05",2004,151257,"31.12.2004",2004,4,"INDL","USD","2004Q4","2004Q4",NA,11.142,5.544,0,"I",0
"73376",151586,"31.12.2005",1,2005,4,"2005Q4","2005Q4",34.725,92.153,1.023,43.39,53.313,46.236,-14.029,76.317,122.553,-5.841,40.781,25.479,-30.4,0,2.163,1.88,"",2834,2834,589.4,"http://www.sec.gov/Archives/edgar/data/1114241/0001144204-06-013254.txt",1114241,"10-K","INYX INC","31.12.05","31.03.06",2005,151586,"31.12.2005",2005,4,"INDL","USD","2005Q4","2005Q4",NA,1.909,2.193,0,"A",0
"73504",151932,"30.09.2005",1,2005,4,"2005Q3","2005Q4",22.531,51.901,16.034,40.03,0.26,0,-1.389,25.117,25.409,1.41,1.986,17.123,26.492,0,4.016,1.8,"",7372,7372,595.4,"http://www.sec.gov/Archives/edgar/data/1311926/0001104659-05-061592.txt",1311926,"10-K","SoftBrands, Inc.","30.09.05","20.12.05",2005,151932,"30.09.2005",2005,4,"INDL","USD","2005Q3","2005Q4",NA,0,0.949,NA,"I",0
"73587",152248,"30.06.2005",1,2005,2,"2005Q2","2005Q2",226.3,780.7,106.6,62.753,5.1,17.7,11,103.6,281.1,34.1,522.8,130.5,499.6,155.4,0.9,25.67,"",1381,1381,582.6,"http://www.sec.gov/Archives/edgar/data/1210697/0000950129-05-007671.txt",1210697,"10-Q","TODCO","30.06.05","04.08.05",2005,152248,"30.06.2005",2005,2,"INDL","USD","2005Q2","2005Q2",NA,0,9.1,0,"I",0
"73652",152790,"31.12.2007",1,2007,4,"2007Q4","2007Q4",95.517,332.351,34.999,20.982,40.916,223.334,-2.066,114.992,349.885,10.324,51.986,168.373,-17.534,0,6.045,9.02,"",5812,5812,629.174,"http://www.sec.gov/Archives/edgar/data/1086774/0000950123-08-003056.txt",1086774,"10-K","Centerplate, Inc.","01.01.08","17.03.08",2007,152790,"31.12.2007",2007,4,"INDL","USD","2007Q4","2007Q4",9.3,0,15.39,0,"I",0.39
"73668",152809,"31.12.2007",1,2007,4,"2007Q4","2007Q4",8.154,32.794,0.098,3.455,0.048,2.45,-1.01,3.775,6.993,0.549,23.324,12.943,25.801,0.499,0.054,7.49,"",2631,2631,629.174,"http://www.sec.gov/Archives/edgar/data/1191857/0000950152-08-001939.txt",1191857,"10-K","MOD PAC CORP","31.12.07","14.03.08",2007,152809,"31.12.2007",2007,4,"INDL","USD","2007Q4","2007Q4",0,0.947,1.9,0,"I",0
"73818",154433,"31.12.2005",1,2005,4,"2005Q4","2005Q4",8.951,10.183,0.67,29.058,2.72,0,-0.944,5.837,5.837,-0.762,1.069,2.466,4.346,0,0.126,1.52,"",2834,2834,589.4,"http://www.sec.gov/Archives/edgar/data/1121225/0000899797-06-000112.txt",1121225,"10KSB","MINRAD INTERNATIONAL, INC.","31.12.05","29.03.06",2005,154433,"31.12.2005",2005,4,"INDL","USD","2005Q4","2005Q4",NA,0,0.376,0,"I",0
"73980",155394,"30.06.2005",1,2005,2,"2005Q2","2005Q2",119.313,321.766,2.782,21.027,0.276,56.269,7.627,34.304,94.589,15.873,74.323,136.023,227.177,0,0.735,27.15,"",5010,5010,582.6,"http://www.sec.gov/Archives/edgar/data/1065696/0001104659-05-036701.txt",1065696,"10-Q","LKQ CORP","30.06.05","05.08.05",2005,155394,"30.06.2005",2005,2,"INDL","USD","2005Q2","2005Q2",NA,24.037,6.471,0,"A",0
"73987",155394,"31.03.2007",1,2007,1,"2007Q1","2007Q1",208.343,607.799,5.881,53.33,10.376,106.662,15.794,72.751,190.084,30.579,132.373,235.318,417.715,2.752,1.733,21.86,"",5010,5010,615.145,"http://www.sec.gov/Archives/edgar/data/1065696/0001104659-07-037480.txt",1065696,"10-Q","LKQ CORP","31.03.07","09.05.07",2007,155394,"31.03.2007",2007,1,"INDL","USD","2007Q1","2007Q1",NA,14.574,9.08,1.125,"A",0
"74008",155614,"30.09.2006",1,2006,3,"2006Q3","2006Q3",16.606,39.9,12.609,30.305,7.644,0.075,-9.897,18.643,31.607,-8.889,12.405,2.37,8.293,0,0.242,6,"",2834,2834,607.9,"http://www.sec.gov/Archives/edgar/data/1161924/0000950133-06-004906.txt",1161924,"10-Q","ADVANCIS PHARMACEUTICAL CORP","30.09.06","13.11.06",2006,155614,"30.09.2006",2006,3,"INDL","USD","2006Q3","2006Q3",NA,0,0.051,0,"I",0
"74064",155735,"31.12.2004",1,2004,4,"2004Q4","2004Q4",329.136,643.245,161.661,84.833,1.25,252.188,7.32,102.599,357.189,34.343,199.243,123.257,286.056,0,5.729,16.52,"",3674,3674,570.1,"http://www.sec.gov/Archives/edgar/data/1161963/0000950124-05-001447.txt",1161963,"10-K","AMIS HOLDINGS INC","31.12.04","11.03.05",2004,155735,"31.12.2004",2004,4,"INDL","USD","2004Q4","2004Q4",0,26.787,32.41,0,"I",0
"74073",155735,"31.03.2007",1,2007,1,"2007Q1","2007Q1",301.4,791.2,79.6,90,2.8,276.1,5.3,109.7,397.3,32.9,215.4,150.4,393.9,0,5,10.95,"",3674,3674,615.145,"http://www.sec.gov/Archives/edgar/data/1161963/0001193125-07-101079.txt",1161963,"10-Q","AMIS HOLDINGS INC","31.03.07","03.05.07",2007,155735,"31.03.2007",2007,1,"INDL","USD","2007Q1","2007Q1",NA,0,10.9,0,"I",0
"74173",155934,"31.12.2004",1,2004,4,"2004Q4","2004Q4",944.313,1819.064,235.852,73.671,153.703,551.477,-9.7,726.037,1417.097,NA,163.624,763.4,401.967,0,5.6,19.22,"BB",4213,4213,570.1,"http://www.sec.gov/Archives/edgar/data/1181232/0001104659-05-057114.txt",1181232,"10-K","SIRVA INC","31.12.04","22.11.05",2004,155934,"31.12.2004",2004,4,"INDL","USD","2004Q4","2004Q4",0,104.973,35.454,0,"I",0
"74330",156614,"31.01.2007",1,2006,4,"2006Q4","2006Q4",317.762,389.947,193.418,23.642,0.11,0.088,12.664,97.022,97.419,22.025,59.44,211.667,292.528,0,NA,23.47,"",5731,5731,606.348,"http://www.sec.gov/Archives/edgar/data/1223389/0000950129-07-001737.txt",1223389,"10-K","CONNS INC","31.01.07","29.03.07",2007,156614,"31.01.2007",2006,4,"INDL","USD","2006Q4","2006Q4",23.14,0,18.425,3.797,"A",0
"74374",156633,"30.06.2006",1,2006,3,"2006Q2","2006Q3",84.354,214.404,54.883,27.542,0,0,4.498,84.698,102.787,9.274,107.627,84.134,111.617,6.726,0.011,22.02,"",8200,8200,607.8,"http://www.sec.gov/Archives/edgar/data/1261654/0000950153-06-002110.txt",1261654,"10-Q","UNIVERSAL TECHNICAL INSTITUTE INC","30.06.06","09.08.06",2006,156633,"30.06.2006",2006,3,"INDL","USD","2006Q2","2006Q3",24.53,0,35.1,15.03,"A",0
"74379",156633,"30.09.2007",1,2007,4,"2007Q3","2007Q4",103.134,232.822,75.594,26.829,0,0,-1.321,95.882,108.317,2.423,104.595,87.009,124.505,2.025,0.01,18,"",8200,8200,624.543,"http://www.sec.gov/Archives/edgar/data/1261654/0000950153-07-002493.txt",1261654,"10-K","UNIVERSAL TECHNICAL INSTITUTE INC","30.09.07","29.11.07",2007,156633,"30.09.2007",2007,4,"INDL","USD","2007Q3","2007Q4",23.9,0,46.58,0,"A",0
"74469",157020,"30.06.2004",1,2004,2,"2004Q2","2004Q2",299.704,894.719,3.068,10,98.22,323.722,26.997,271.578,768.421,46.864,433.207,356.121,126.298,0,5.058,20.86,"",3312,3312,568.2,"http://www.sec.gov/Archives/edgar/data/941738/0000950128-04-000796.txt",941738,"10-Q","WHEELING PITTSBURGH CORP /DE/","30.06.04","09.08.04",2004,157020,"30.06.2004",2004,2,"INDL","USD","2004Q2","2004Q2",NA,0,60.211,0,"I",0
"74552",157195,"30.06.2006",1,2006,2,"2006Q2","2006Q2",44.481,99.442,2.158,9.602,5.009,13.188,1.523,19.591,47.019,3.079,13.385,28.972,52.423,10.031,0.296,14.03,"",3743,3743,607.8,"http://www.sec.gov/Archives/edgar/data/1263074/0000950133-06-003789.txt",1263074,"10-Q","PORTEC RAIL PRODUCTS INC","30.06.06","14.08.06",2006,157195,"30.06.2006",2006,2,"INDL","USD","2006Q2","2006Q2",NA,4.664,1.289,0,"I",0.06
"74693",157494,"31.12.2004",1,2004,4,"2004Q4","2004Q4",77.026,99.812,18.763,19.206,0,46.63,2.223,26.782,77.678,4.565,15.028,36.682,22.134,0,0.725,9.61,"",3679,3679,570.1,"http://www.sec.gov/Archives/edgar/data/1090069/0001104659-05-014799.txt",1090069,"10-K","CHEROKEE INTERNATIONAL CORP","02.01.05","01.04.05",2004,157494,"31.12.2004",2004,4,"INDL","USD","2004Q4","2004Q4",NA,0,4.925,0,"I",0
"74701",157494,"31.12.2006",1,2006,4,"2006Q4","2006Q4",68.778,96.893,8.881,19.338,0,46.63,0.278,27.673,81.018,0.079,19.888,37.566,15.875,0,0.688,4.03,"",3679,3679,604.5,"http://www.sec.gov/Archives/edgar/data/1090069/0001104659-07-042484.txt",1090069,"10-K","CHEROKEE INTERNATIONAL CORP","31.12.06","23.05.07",2006,157494,"31.12.2006",2006,4,"INDL","USD","2006Q4","2006Q4",NA,0,3.596,NA,"I",0
"74716",157634,"30.09.2005",1,2005,3,"2005Q3","2005Q3",85.008,144.609,73.312,49.212,0,0,-2.615,4.211,10.089,1.744,10.477,12.793,134.52,5.637,0.001,3.62,"",3674,3571,595.4,"http://www.sec.gov/Archives/edgar/data/866830/0001193125-05-218313.txt",866830,"10-Q","STAKTEK HOLDINGS INC","30.09.05","07.11.05",2005,157634,"30.09.2005",2005,3,"INDL","USD","2005Q3","2005Q3",3.5,0,4.249,6.607,"I",0
"74722",157634,"31.03.2007",1,2007,1,"2007Q1","2007Q1",86.093,130.211,77.653,47.51,0.019,0.071,-2.936,2.762,3.097,-1.426,6.002,8.678,127.114,0,0.002,3.25,"",3674,3571,615.145,"http://www.sec.gov/Archives/edgar/data/866830/0001193125-07-108038.txt",866830,"10-Q","STAKTEK HOLDINGS INC","31.03.07","09.05.07",2007,157634,"31.03.2007",2007,1,"INDL","USD","2007Q1","2007Q1",4.93,0,0.183,1.566,"I",0
"74768",157735,"31.03.2006",1,2006,1,"2006Q1","2006Q1",53.612,157.467,0.105,18.294,17.716,37.095,-10.341,64.994,119.292,-5.149,100.708,78.933,38.175,4.866,2.868,1.95,"",NA,4213,598.6,"http://www.sec.gov/Archives/edgar/data/1085636/0001085636-06-000028.txt",1085636,"10-Q","CENTRAL FREIGHT LINES INC","01.04.06","16.05.06",2006,157735,"31.03.2006",2006,1,"INDL","USD","2006Q1","2006Q1",NA,0.135,0.387,0,"I",0
"74880",157954,"31.12.2006",1,2006,4,"2006Q4","2006Q4",90.89,93.628,75.534,50.731,0,0,-7.47,31.879,47.323,-8.268,0.334,20.467,46.305,0,NA,7.83,"",2834,2834,604.5,"http://www.sec.gov/Archives/edgar/data/1172480/0000936392-07-000172.txt",1172480,"10-K","SANTARUS INC","31.12.06","06.03.07",2006,157954,"31.12.2006",2006,4,"INDL","USD","2006Q4","2006Q4",NA,0,0.06,NA,"I",0
"74950",158513,"31.12.2007",1,2007,4,"2007Q4","2007Q4",4.013,9.521,0.425,48.493,11.186,0,-3.285,16.335,16.335,-1.143,1.713,2.77,-6.814,0,0.709,0.26,"",3728,3728,629.174,"http://www.sec.gov/Archives/edgar/data/1240722/0001144204-08-022661.txt",1240722,"10KSB","SOLOMON TECHNOLOGIES INC","31.12.07","15.04.08",2007,158513,"31.12.2007",2007,4,"INDL","USD","2007Q4","2007Q4",NA,2.602,0.142,3.35,"I",0
"75323",160282,"31.12.2005",1,2005,4,"2005Q4","2005Q4",279.151,984.861,59.976,43.725,18.105,631.027,15.08,111.815,875.515,35.762,362.118,144.585,109.346,37.369,7.461,8.41,"B+",3550,3550,589.4,"http://www.sec.gov/Archives/edgar/data/1287151/0001193125-06-042957.txt",1287151,"10-K","XERIUM TECHNOLOGIES INC","31.12.05","02.03.06",2005,160282,"31.12.2005",2005,4,"INDL","USD","2005Q4","2005Q4",NA,0,35.829,4.551,"A",0.225
"75370",160336,"31.03.2007",1,2007,1,"2007Q1","2007Q1",32.508,88.804,11.232,17.683,12.466,6.323,-3.627,34.824,44.195,-2.182,11.037,6.267,44.609,0,0.369,3.37,"",7370,7370,615.145,"http://www.sec.gov/Archives/edgar/data/1287258/0000950134-07-011094.txt",1287258,"10-Q","PLANETOUT INC","31.03.07","10.05.07",2007,160336,"31.03.2007",2007,1,"INDL","USD","2007Q1","2007Q1",0,0,1.155,0,"I",0
"75418",160343,"30.06.2005",1,2005,2,"2005Q2","2005Q2",257.05,556.594,3.996,39.091,19.884,83.438,-1.423,166.015,269.929,NA,144.395,225.44,286.665,0,2.246,10.42,"",1623,1623,582.6,"http://www.sec.gov/Archives/edgar/data/1276827/0000893220-05-001956.txt",1276827,"10-Q","INFRASOURCE SERVICES INC","30.06.05","12.08.05",2005,160343,"30.06.2005",2005,2,"INDL","USD","2005Q2","2005Q2",4.6,0.038,15.404,0,"I",0
"75440",160364,"31.12.2007",1,2007,4,"2007Q4","2007Q4",303.458,693.019,46.06,39.197,4.481,47.191,-7.1,210.098,321.846,15.092,34.072,170.039,371.173,2.228,NA,9.23,"",7373,7373,629.174,"http://www.sec.gov/Archives/edgar/data/1089638/0001144204-08-015651.txt",1089638,"10-K","NESS TECHNOLOGIES INC","31.12.07","17.03.08",2007,160364,"31.12.2007",2007,4,"INDL","USD","2007Q4","2007Q4",NA,47.131,11.563,0,"I",0
"75557",160474,"31.12.2005",1,2005,4,"2005Q4","2005Q4",39.212,101.437,1.857,7.973,11.026,18.292,1.497,23.181,45.426,4.461,28.178,38.172,56.011,2.291,0.528,3.03,"",3341,3341,589.4,"http://www.sec.gov/Archives/edgar/data/1048685/0000950137-06-003086.txt",1048685,"10-K","METALICO INC","31.12.05","15.03.06",2005,160474,"31.12.2005",2005,4,"INDL","USD","2005Q4","2005Q4",NA,4.403,3.628,0.1,"I",0
"75590",160492,"30.09.2005",1,2005,3,"2005Q3","2005Q3",126.997,196.65,6.267,7.676,45.049,0.06,-4.863,152.426,172.563,-3.553,8.466,100.925,24.087,0,NA,5.38,"",7372,3577,595.4,"http://www.sec.gov/Archives/edgar/data/1289871/0001289871-05-000024.txt",1289871,"10QSB","HyperSpace Communications, Inc.","30.09.05","14.11.05",2005,160492,"30.09.2005",2005,3,"INDL","USD","2005Q3","2005Q3",NA,-1.284,0.042,NA,"I",0
"75643",160549,"30.09.2005",1,2005,3,"2005Q3","2005Q3",3601.57,20026.408,2740.664,478.586,322.855,7055.638,-123,1880.314,10392.187,337.8,6863.142,1105.1,7876.646,580.424,122.3,27.09,"",4841,4841,595.4,"http://www.sec.gov/Archives/edgar/data/1316631/0000950134-05-021223.txt",1316631,"10-Q","Liberty Global, Inc.","30.09.05","10.11.05",2005,160549,"30.09.2005",2005,3,"INDL","USD","2005Q3","2005Q3",NA,1590.55,832.959,0,"A",0
"75681",160597,"31.12.2004",1,2004,4,"2004Q4","2004Q4",109.971,118.212,92.015,26.769,0,0,-3.098,14.948,15.918,-2.98,6.823,19.163,102.294,0,0.061,23.48,"",3845,3845,570.1,"http://www.sec.gov/Archives/edgar/data/1163848/0001193125-05-063213.txt",1163848,"10-K","INTRALASE CORP","31.12.04","29.03.05",2004,160597,"31.12.2004",2004,4,"INDL","USD","2004Q4","2004Q4",NA,0,4.554,0,"I",0
"75714",160600,"30.09.2007",1,2007,3,"2007Q3","2007Q3",102.67,394.365,7.038,35.444,11.765,72.795,-1.088,67.108,152.063,7.411,104.867,75.823,242.302,11.073,1.807,16.7,"",3842,3842,624.543,"http://www.sec.gov/Archives/edgar/data/1292055/0001104659-08-026223.txt",1292055,"10-Q","Symmetry Medical Inc.","29.09.07","24.04.08",2007,160600,"30.09.2007",2007,3,"INDL","USD","2007Q3","2007Q3",NA,32.522,7.204,0,"I",0
"75718",160607,"31.12.2004",1,2004,4,"2004Q4","2004Q4",33.703,80.332,5.67,22.029,0.735,8.972,1.696,15.804,25.172,3.672,12.112,22.568,55.16,0,0.201,7.75,"",2836,2836,570.1,"http://www.sec.gov/Archives/edgar/data/1108674/0000950137-05-003910.txt",1108674,"10-K","STRATAGENE  CORP","31.12.04","31.03.05",2004,160607,"31.12.2004",2004,4,"INDL","USD","2004Q4","2004Q4",NA,-4.521,1.797,0,"I",0
"75739",160623,"31.05.2007",1,2006,4,"2007Q2","2006Q4",8.465,12.028,4.252,6.508,0,0,-3,5.007,5.073,-2.01,0.221,4.311,6.955,0.066,0.002,4.9,"",7900,7900,622.921,"http://www.sec.gov/Archives/edgar/data/885780/0001165527-07-000473.txt",885780,"10KSB","GLOBAL ENTERTAINMENT CORP","31.05.07","29.08.07",2007,160623,"31.05.2007",2006,4,"INDL","USD","2007Q2","2006Q4",NA,0,0.162,0,"I",0
"75785",160684,"31.03.2005",1,2005,1,"2005Q1","2005Q1",712.082,1628.309,46.635,64.995,1.2,266.589,61.143,261.958,798.845,119.881,853.872,618.616,829.464,234.641,6.154,32.35,"BB-",2860,2860,579,"http://www.sec.gov/Archives/edgar/data/1262823/0001193125-05-102100.txt",1262823,"10-Q","WESTLAKE CHEMICAL CORP","31.03.05","10.05.05",2005,160684,"31.03.2005",2005,1,"INDL","USD","2005Q1","2005Q1",35,0,17.336,0,"A",0.0213
"75822",160797,"31.12.2005",1,2005,4,"2005Q4","2005Q4",116.295,125.595,93.92,23.72,1.013,0.951,3.982,20.668,21.619,4.193,8.384,28.532,103.976,0,NA,14.74,"",3674,3674,589.4,"http://www.sec.gov/Archives/edgar/data/1219210/0001047469-06-002539.txt",1219210,"10-K","IKANOS COMMUNICATIONS","31.12.05","27.02.06",2005,160797,"31.12.2005",2005,4,"INDL","USD","2005Q4","2005Q4",NA,0,5.219,0.025,"I",0
"75865",160837,"31.07.2006",1,2006,4,"2006Q2","2006Q4",64.996,99.076,22.941,29.632,0,0,0.651,32.743,32.743,0.581,5.866,52.303,66.333,0,0,1.3799,"",4911,4911,609.6,"http://www.sec.gov/Archives/edgar/data/1274150/0000892569-06-001312.txt",1274150,"10-K","COMMERCE ENERGY GROUP, INC.","31.07.06","30.10.06",2006,160837,"31.07.2006",2006,4,"INDL","USD","2006Q2","2006Q4",NA,0,4.714,2.31,"I",0
"75874",160838,"31.12.2005",1,2005,4,"2005Q4","2005Q4",67.717,472.669,8.936,16.653,0.395,150.23,-9.43,61.594,361.402,1.8,360,119.874,111.267,44.24,3.852,38.2,"B",1220,1220,589.4,"http://www.sec.gov/Archives/edgar/data/1297720/0001188112-06-000708.txt",1297720,"10-K","James River Coal CO","31.12.05","16.03.06",2005,160838,"31.12.2005",2005,4,"INDL","USD","2005Q4","2005Q4",NA,59.404,84.987,0,"I",0
"75926",160889,"31.12.2005",1,2005,4,"2005Q4","2005Q4",15.795,24.73,4.586,7.162,0,0,-13.953,13.382,13.382,-3.226,6.927,18.474,11.348,0,NA,1.35,"",5961,9995,589.4,"http://www.sec.gov/Archives/edgar/data/1292026/0000950144-06-002957.txt",1292026,"10-K","Odimo INC","31.12.05","31.03.06",2005,160889,"31.12.2005",2005,4,"INDL","USD","2005Q4","2005Q4",0,0,3.387,0,"A",0
"75983",160913,"31.12.2006",1,2006,4,"2006Q4","2006Q4",242.592,1160.102,173.165,38.102,131.915,380.314,4.221,208.163,719.244,18.4,793.164,66.682,440.794,21.674,9.784,36.82,"",4911,4911,604.5,"http://www.sec.gov/Archives/edgar/data/1296445/0000950136-07-001557.txt",1296445,"10-K","ORMAT TECHNOLOGIES, INC.","31.12.06","12.03.07",2006,160913,"31.12.2006",2006,4,"INDL","USD","2006Q4","2006Q4",NA,22.76,159.497,0,"A",0.04
"76090",161064,"31.12.2007",1,2007,4,"2007Q4","2007Q4",158.181,683.028,135.564,18.241,3.1,456.927,-1.363,48.679,518.671,14.743,489.464,43.467,131.033,2.145,13.041,13.12,"B-",4400,4400,629.174,"http://www.sec.gov/Archives/edgar/data/1299716/0001047469-08-002723.txt",1299716,"10-K","U.S. Shipping Partners L.P.","31.12.07","14.03.08",2007,161064,"31.12.2007",2007,4,"INDL","USD","2007Q4","2007Q4",NA,0,161.183,0,"I",0.45
"76108",161072,"30.06.2006",1,2006,2,"2006Q2","2006Q2",NA,582.588,35.896,16.595,NA,317.188,-7.124,NA,424.673,-11.776,1.814,50.697,157.513,8.43,6.851,6.33,"B+",1531,1531,607.8,"http://www.sec.gov/Archives/edgar/data/1299969/0000950133-06-003673.txt",1299969,"10-Q","Comstock Homebuilding Companies, Inc.","30.06.06","09.08.06",2006,161072,"30.06.2006",2006,2,"INDL","USD","2006Q2","2006Q2",6.31,15.491,1.236,1.864,"A",0
"76140",161110,"30.06.2006",1,2006,2,"2006Q2","2006Q2",266.357,1991.695,72.004,45.7,0,635,22.035,209.154,1625.736,81.511,1654.496,366.003,365.959,37.101,13.974,46.93,"",1221,1221,607.8,"http://www.sec.gov/Archives/edgar/data/1301063/0001193125-06-167455.txt",1301063,"10-Q","Foundation Coal Holdings, Inc.","30.06.06","09.08.06",2006,161110,"30.06.2006",2006,2,"INDL","USD","2006Q2","2006Q2",NA,0,75.382,0,"I",0.05
"76221",161816,"30.09.2006",1,2006,3,"2006Q3","2006Q3",12.791,30.606,2.763,27.866,2.5,6.009,6.02,15.637,24.726,2.69,3.556,19.796,5.88,0,0.826,1.57,"",5912,5912,607.9,"http://www.sec.gov/Archives/edgar/data/1233426/0001362310-06-000325.txt",1233426,"10-Q","NationsHealth, Inc.","30.09.06","13.11.06",2006,161816,"30.09.2006",2006,3,"INDL","USD","2006Q3","2006Q3",NA,0,1.212,0,"I",0
"76233",161843,"30.09.2006",1,2006,3,"2006Q3","2006Q3",29.153,73.521,0.036,5.11,33.681,5.857,-0.017,47.522,57.784,1.156,8.134,20.021,15.737,0,1.033,3.92,"",3537,3537,607.9,"http://www.sec.gov/Archives/edgar/data/1302028/0001193125-06-234945.txt",1302028,"10-Q","Veri-Tek International, Corp.","30.09.06","14.11.06",2006,161843,"30.09.2006",2006,3,"INDL","USD","2006Q3","2006Q3",NA,0.01,0.431,0,"A",0
"76255",161869,"31.12.2005",1,2005,4,"2005Q4","2005Q4",8.322,24.372,0.229,4.383,0.835,6.587,-3.342,9.519,16.106,-1.142,0.916,7.042,8.266,0,0.121,5.25,"",2731,2731,589.4,"http://www.sec.gov/Archives/edgar/data/729156/0000950134-06-006394.txt",729156,"10-K","PEOPLES EDUCATIONAL HOLDINGS","31.12.05","31.03.06",2005,161869,"31.12.2005",2005,4,"INDL","USD","2005Q4","2005Q4",4.86,0,0.425,0.006,"A",0
"76267",161877,"31.12.2005",1,2005,4,"2005Q4","2005Q4",73.936,451.888,2.414,42.732,2.734,160.114,-1.703,65.542,240.18,2.025,19.069,76.644,211.708,9.819,2.025,11.8,"B+",8200,8200,589.4,"http://www.sec.gov/Archives/edgar/data/1286862/0001193125-06-056861.txt",1286862,"10-K","EDUCATE INC","31.12.05","16.03.06",2005,161877,"31.12.2005",2005,4,"INDL","USD","2005Q4","2005Q4",NA,37.886,12.441,0,"I",0
